signature_id;severity;description;signature_name
20000;Medium;This signature detects an overflow in BIND 8 that may provide access to remote attackers as the user-id under which BIND is running or lead to a DoS.;DNS Tsig BO (1)
20001;Medium;This signature detects an overflow in BIND 8 that may provide access to remote attackers as the user-id under which BIND is running or lead to a DoS.;DNS Tsig BO (2)
20002;Low;This signature detects a zone transfer request made to a DNS server.;Audit: DNS Zone Transfer Query
20003;Low;This signature detects a a search query made to the finger daemon.;Finger Search Query
20004;High;This signature detects a WuFTPd heap overflow exploit.;Attack: Wu-Ftpd File Globbing Heap Corruption CVE-2001-0550
20006;Medium;This signature detects attempts to exploit stack overflow in ProFTPD.;FTP MKD Stack Overflow
20007;Medium;ProFTPD is prone to a remotely exploitable buffer overflow when handling ASCII file uploads.  This could allow arbitrary code execution.;ProFTPd ASCII BO
20015;Low;This event indicates an attempt to log in to MSN Messenger over the default MSNMGR port and HTTP ports.;Audit: MSN Messenger Login Attempt
20018;Medium;This signature detects attempts to connect to a share as the Administrator without a password.;NetBIOS ADMIN NULL Password
20019;Medium;This signature detects a null session request sent to Windows NT.;NetBIOS NULL Session Attempt
20020;Medium;This signature detects the RFPoison denial of service attack tool.;NetBIOS RFPoison DoS
20021;High;The NIDS engine detected the W32.Bugbear.B@mm worm attempting to propagate through Windows Netbios file sharing.;BugBear B Worm FileShare Propagation
20022;High;This signature detects the propagation of a malicious worm called W32 HLLW Nebiwo.;Nebiwo Worm Propagation (1)
20023;High;This signature detects the propagation of a malicious worm called W32 HLLW Nebiwo.;Nebiwo Worm Propagation (2)
20024;High;This signature detects the propagation of a malicious worm called W32 HLLW Nebiwo.;Nebiwo Worm Propagation (3)
20025;Medium;Unpredictable results, including system crashes, lock-ups, reboots, and loss of network connectivity, can occur in Windows 95/98 if a NetBIOS session packet is received with the source host name set to NULL.;OS Attack: Microsoft Windows 9x NetBIOS NULL Name CVE-2000-0347
20026;Medium;This signature detects attempts to exploit a vulnerability in the winlogon.exe service causing a denial of service;NetBIOS NT Winlogon DoS
20027;Medium;This event indicates that an attempt to use pwdump3 from or against a machine within the network was detected.;PWDump3 Attempt (1)
20028;Medium;This event indicates that an attempt to use pwdump3 from or against a machine within the network was detected.;PWDump3 Attempt (2)
20029;High;This signature detects attempt to exploit a buffer overflow vulnerability in the workstation service via the NetAddAlternateComputerName() or NetValidateName() API calls.;SMB MS Workstation Svc Alt Name BO (1)
20033;High;This signature detects attempt to exploit a buffer overflow vulnerability in the workstation service via the NetAddAlternateComputerName() or NetValidateName() API calls.;SMB MS Workstation Svc NetVal BO (1)
20037;High;This signature detects attempts overflow the login function on UNIX.;Remote BinLogin BO 1
20038;High;This signature detects attempts overflow the login function on UNIX.;Web Attack: Login Program Buffer Overflow Vulnerability
20040;High;This signature detects the attempt to execute arbitrary code in the context of the user running the affected applications. Failed exploit attempts will likely cause a denial-of-service condition.;Web Attack: Adobe Acrobat & Reader Stack Buffer Overflow CVE-2015-5110
20041;Medium;This signature detects to exploit a vulnerability in Kerberos.;Kerberos Info Leak
20042;High;This signature detects communication between a trin00 master and a trin00 daemon.;Attack: DDOS Mstream HandlerAgent Command CVE-2000-0138
20043;High;This signature detects the trinoo master remote interface password.;System Infected: DDOS Trin00 MasterRemote Int PW
20044;High;This signature detects traffic resembling Mstream control communication.;DDOS Mstream AgtHandler Newsrv
20045;High;This signature detects traffic resembling Mstream control communication.;DDOS Mstream HandlerAgent Command
20046;Medium;This signature detects the tandem use of the echo and chargen services.;ECHO Chargen Loop DoS
20048;Medium;Possible DOS in WinNT RAS (PPTP);RAS PPTP Malformed Ctrl Packet DoS
20049;High;This signature detects an attempt to exploit a buffer overflow vulnerability in Oracle 9i.;Oracle XDB FTP BO (1)
20050;High;This signature detects an attempt to exploit a buffer overflow vulnerability in Oracle 9i.;Attack: Oracle XDB FTP BO 2
20051;Medium;This signature detects an attempt to crash the Oracle TNS Listener.;Oracle TNS Listener DoS
20052;Medium;This signature detects attempts to exploit a buffer overflow vulnerability in the Gopher service.;Gopherd GSisText BO
20053;Medium;A remotely exploitable buffer overflow vulnerability exists in many versions of NTPD.;Web Attack: NTPD Field Value BO
20054;Medium;This signature detects an attempts to exploit a remote buffer overflow vulnerability in Kerio Personal Firewall;Kerio Remote Auth BO (TCP)
20055;Medium;This signature detects an attempts to exploit a remote buffer overflow vulnerability in Kerio Personal Firewall;Kerio Remote Auth BO (UDP)
20056;Medium;This signature detects an attempt to overflow the Red Hat Linux PXE server.;Web Attack: Red Hat PXE Server Remote BO
20057;Medium;This signature detects invalid type 74 requests sent to the Knox Arkeia server.;HTTP Knox Arkeia Remote Stack Overflow
20058;Medium;This signature detects an attempt overflow the AMANDA amendexd daemon by sending usually long command strings.;AMANDA amindexd Remote BO
20059;Medium;This signature detects an attempt to execute arbitrary code by overflowing a buffer in the Microsoft UPnP service.;OS Attack: MS UPnP NOTIFY BO
20060;High;This signature detects attempts to exploit a buffer overflow vulnerability in Mail Servers.;Web Attack: POP3 Generic User BO
20061;Medium;This signature detects attempts to gain unauthorized access to files on the webserver.;HTTP Cisco Catalyst ExecDir Request
20062;Medium;This signature detects attempts to gain access to unauthorized data on Nortel's Contivity network device.;HTTP Nortel CGIProc Access
20063;Medium;This signature detects attempts to crash Nortel's Contivity network device.;HTTP Nortel CGIProc DoS
20066;Medium;Cisco IOS devices are prone to a remotely exploitable buffer overrun via an excessively large request to the HTTP server. Remote attackers may execute arbitrary code on affected Cisco devices.;Web Attack: HTTP Cisco 2GB Integer Overflow
20067;Medium;This signature detects an attempted Denial of Service attack against the telnet service on a Cisco Optical Transport Platform.;Cisco Invalid Telnet Request DoS
20068;Medium;This signature detects attempts to exploit a vulnerability in Windows Networking.;OS Attack: SMB Request Buffer Overflow CVE-2002-0724
20069;Medium;This signature detects an attempt to overflow the trans2open SMB vulnerability.;SMB Trans2Open Overflow (1)
20070;Medium;This signature detects an attempt to overflow the trans2open SMB vulnerability.;SMB Trans2Open Overflow (2)
20073;Medium;This signature detects a malformed command sent to the Vintra Mail Server;Web Attack: SMTP EXPN Vintra DoS
20074;High;This signature detects the propagation of the W32.HLLW.Fizzer@mm Worm.;Fizzer Worm SMTP Propagation
20076;High;The NIDS engine detected the W32.Bugbear.B@mm worm attempting to propagate through email.;BugBear B Worm SMTP Propagation
20077;High;This signature detects the propagation of the W32.Dumaru@mm Worm.;Dumaru Worm Propagation
20078;Medium;This signature detects an attempt to crash a Nortel/Bay Network Nautica Marlin router by sending a malformed SNMP packet.;SNMP Bay/Nortel Networks Marlin DoS
20079;Medium;This signature detects attempts to exploit a vulnerability in SQL Server.;MS SQL Job Scheduling
20080;Medium;This signature detects an attempt to change the MSSQL Server Account Registry Key.;MS SQL Registry Manipulation
20081;High;This signature detects any attempts to overflow the Microsoft SQL Server Resolution Service.;Attack: MS SQL Server 2000 Resolution Service CVE-2002-0649
20082;Medium;This signature detects an attempt to exploit the NULL byte vulnerability in MS SQL Server.;MS SQL Null Packet DoS
20083;Medium;This signature detects a remote attempt to change the mysql.user.password column to LONGTEXT type.;MySQL Password Table Change
20084;Medium;This signature detects attempts to overflow the OpenSSH SSH2 challenge-response mechanism.;SSH BSD Auth BO
20085;High;This signature detects an attempts to overflow a buffer in Solaris's snmpXdmid service.;SNMP SnmpXdmid BO
20086;High;This signature detects the propagation of the W32.HLLW.Fizzer@mm Worm.;Fizzer Worm Propagation (TCP)
20087;High;This signature detects the propagation of the W32.HLLW.Fizzer@mm Worm.;Fizzer Worm Propagation (UDP)
20088;High;W32.HLLW.Deloder is a network-aware worm that attempts to connect to a target host using TCP port 445.;System Infected: Deloder Worm
20089;Medium;This signature detects an attempt to exploit a vulnerability in the ConSeal Firewall.;UDP Conseal Firewall Arnudp DoS
